order_id,account_id,bank_to,account_to,amount,k_symbol
29401,A00000001,YZ,87144583,2452,Household Payment
29402,A00000002,ST,89597016,3372.7,Loan Payment
29403,A00000002,QR,13943797,7266,Household Payment
29404,A00000003,WX,83084338,1135,Household Payment
29405,A00000003,CD,24485939,327, 
29406,A00000003,AB,59972357,3539,Insurance Payment
29407,A00000004,UV,26693541,2078,Household Payment
29408,A00000004,UV,5848086,1285,Household Payment
29409,A00000005,GH,37390208,2668,Household Payment
29410,A00000006,AB,44486999,3954,Household Payment
29411,A00000007,IJ,34452903,4880,Household Payment
29412,A00000008,UV,12510681,2612,Household Payment
29413,A00000008,IJ,93210345,6712, 
29414,A00000010,UV,18686104,7033,Household Payment
29415,A00000010,QR,93182509,1344,Leasing Payment
29416,A00000011,ST,38470870,2132,Household Payment
29417,A00000012,CD,23010808,297,Household Payment
29418,A00000012,KL,63607060,3295,Household Payment
29419,A00000013,EF,35443323,2444,Household Payment
29420,A00000014,WX,11793136,3629,Household Payment
29421,A00000015,KL,24265569,3072,Household Payment
29422,A00000017,EF,15076423,4032,Household Payment
29423,A00000019,QR,14132368,2523.2,Loan Payment
29425,A00000020,AB,3399968,2003,Household Payment
29426,A00000021,YZ,60152441,6276,Household Payment
29427,A00000022,ST,34691494,6352,Household Payment
29428,A00000023,MN,20774019,5807,Household Payment
29429,A00000024,IJ,50810194,221,Household Payment
29430,A00000024,QR,46086388,7641, 
29431,A00000025,YZ,1301700,2523.2,Loan Payment
29432,A00000025,IJ,4896235,6817,Household Payment
29433,A00000025,AB,79838293,1110, 
29434,A00000025,WX,52864879,164,Insurance Payment
29435,A00000026,EF,12891853,10387,Household Payment
29436,A00000027,CD,28175699,4054,Household Payment
29439,A00000029,ST,32924878,6871,Household Payment
29440,A00000029,MN,93088209,829, 
29441,A00000029,UV,41335338,8,Insurance Payment
29442,A00000030,EF,66168540,2480.2,Leasing Payment
29443,A00000031,ST,42430687,10202,Household Payment
29444,A00000033,KL,33047658,3892,Household Payment
29445,A00000034,WX,21845197,1479,Leasing Payment
29446,A00000034,GH,19993174,502,Household Payment
29447,A00000034,IJ,58999049,6070, 
29448,A00000035,MN,56788617,1022,Household Payment
29449,A00000035,MN,99848401,1362,Household Payment
29450,A00000036,CD,80693810,4069,Household Payment
29451,A00000037,QR,71644407,5307.5,Loan Payment
29452,A00000037,IJ,29728555,2317,Household Payment
29453,A00000037,OP,23782724,2584, 
29454,A00000037,YZ,89609831,97,Insurance Payment
29455,A00000038,QR,79067885,2306.8,Loan Payment
29456,A00000038,EF,2692229,6901,Household Payment
29457,A00000038,KL,83435654,231, 
29458,A00000038,OP,64685678,228,Insurance Payment
29459,A00000039,CD,77015351,145,Household Payment
29460,A00000039,WX,949460,2970,Household Payment
29461,A00000040,ST,31161588,33,Household Payment
29462,A00000040,MN,96111678,4301, 
29463,A00000042,CD,1007766,4239,Household Payment
29464,A00000042,KL,55873340,239, 
29465,A00000042,YZ,38318204,1592,Insurance Payment
29466,A00000043,CD,89718746,6589,Household Payment
29467,A00000044,GH,11344862,2344,Household Payment
29470,A00000047,KL,76620852,6940,Household Payment
29471,A00000047,KL,37438374,174, 
29472,A00000047,EF,83359431,141,Insurance Payment
29473,A00000047,UV,30289006,9, 
29474,A00000048,AB,50218236,6268,Household Payment
29475,A00000048,ST,2071685,1029, 
29476,A00000049,CD,83233099,3102,Household Payment
29477,A00000050,WX,75148117,269,Household Payment
29478,A00000050,UV,17270559,7024, 
29479,A00000051,KL,71050131,2074,Household Payment
29480,A00000051,KL,74449389,2057, 
29481,A00000052,EF,6008005,560,Household Payment
29482,A00000052,QR,85721850,3723, 
29483,A00000053,MN,81024360,2851,Household Payment
29484,A00000054,IJ,90659772,2280,Household Payment
