Date received,Complaint ID,rand client,phonefinal,vru+line,call_id,priority,type,outcome,server,ser_start,ser_exit,ser_time
2017-03-27,CR2406263,C00004587,977-806-9726,AA0103,34536,0,NW,AGENT,MICHAL,13:34:11,13:40:23,00:06:12
2017-03-27,CR2405641,C00003328,322-598-7152,AA0205,34537,0,PS,AGENT,TOVA,10:58:22,11:16:10,00:17:48
2017-03-27,CR2405629,C00001685,508-311-5237,AA0110,34538,2,PS,AGENT,YIFAT,13:00:54,13:13:31,00:12:37
2017-03-23,CR2400594,C00001945,265-394-2727,AA0113,34540,2,PS,AGENT,AVNI,16:18:21,16:19:40,00:01:19
2017-03-22,CR2399607,C00004303,206-008-0460,AA0102,34541,1,PS,AGENT,STEREN,14:48:22,14:55:19,00:06:57
2017-03-22,CR2398621,C00010209,617-060-9671,AA0203,34542,0,PS,AGENT,ANAT,09:15:43,09:32:44,00:17:01
2017-03-22,CR2398447,C00004248,617-739-1926,AA0203,34543,0,PS,AGENT,YIFAT,11:33:16,11:41:36,00:08:20
2017-03-22,CR2398401,C00000486,478-749-3447,AA0204,34544,0,PS,AGENT,TOVA,15:05:09,15:17:45,00:12:36
2017-03-22,CR2398768,C00002342,994-862-3218,AA0101,34545,0,NW,AGENT,STEREN,10:19:11,10:19:57,00:00:46
2017-03-21,CR2397737,C00003730,617-161-9051,AA0205,34546,0,PS,AGENT,YIFAT,10:47:11,10:53:13,00:06:02
2017-03-21,CR2398271,C00001891,953-476-9580,AA0105,34547,0,NW,AGENT,MIKI,14:20:21,14:31:52,00:11:31
2017-03-17,CR2392378,C00003321,254-815-1076,AA0106,34549,1,PS,AGENT,DORIT,09:00:11,09:03:53,00:03:42
2017-03-17,CR2392249,C00004218,508-495-9597,AA0102,34550,0,PS,AGENT,AVNI,12:38:08,12:42:25,00:04:17
2017-03-16,CR2391330,C00004622,716-474-3082,AA0214,34551,2,PS,AGENT,MORIAH,10:41:54,10:56:57,00:15:03
2017-03-16,CR2391051,C00004266,212-955-2224,AA0103,34552,0,NW,AGENT,YIFAT,14:36:47,14:45:13,00:08:26
2017-03-16,CR2391104,C00000375,508-906-6051,AA0102,34553,2,PS,AGENT,TOVA,14:10:43,14:23:31,00:12:48
2017-03-15,CR2388840,C00002259,854-860-5683,AA0204,34554,2,PS,AGENT,GILI,14:31:14,14:45:46,00:14:32
2017-03-15,CR2388580,C00003366,356-333-5984,AA0201,34555,1,PS,AGENT,KAZAV,16:22:51,16:38:04,00:15:13
2017-03-14,CR2386079,C00009987,294-459-8475,AA0103,34557,2,NE,AGENT,KAZAV,11:11:40,11:20:04,00:08:24
2017-03-10,CR2382372,C00001401,124-161-2235,AA0201,34559,0,PS,AGENT,YITZ,10:33:03,10:34:01,00:00:58
2017-03-09,CR2376980,C00003545,472-217-3837,AA0110,34560,2,PS,AGENT,DARMON,10:21:54,10:35:22,00:13:28
2017-03-08,CR2377263,C00004301,495-249-7895,AA0215,34561,0,PS,AGENT,SHLOMO,10:38:34,10:45:56,00:07:22
2017-03-08,CR2378338,C00004528,463-191-1159,AA0215,34562,0,PS,AGENT,MIKI,16:59:32,17:06:41,00:07:09
2017-03-08,CR2378433,C00001632,847-606-9704,AA0202,34563,0,PS,AGENT,YIFAT,16:46:17,16:55:11,00:08:54
2017-03-08,CR2378816,C00003074,212-741-2757,AA0101,34564,0,NW,AGENT,STEREN,09:33:16,09:38:21,00:05:05
2017-03-08,CR2376941,C00002354,212-022-5279,AA0213,34565,0,PS,AGENT,GILI,13:13:22,13:29:31,00:16:09
2017-03-07,CR2374521,C00002508,909-238-3879,AA0106,34566,0,PS,AGENT,MIKI,13:00:28,13:11:03,00:10:35
2017-03-07,CR2375008,C00004113,914-751-1865,AA0204,34567,0,NW,AGENT,MICHAL,10:41:15,11:01:00,00:19:45
2017-03-06,CR2372694,C00004906,386-438-1635,AA0104,34568,0,PS,AGENT,AVIDAN,11:31:53,11:51:46,00:19:53
2017-03-06,CR2373271,C00006366,817-770-7405,AA0103,34569,0,PS,AGENT,AVIDAN,12:51:02,12:58:13,00:07:11
2017-03-06,CR2373496,C00004015,617-592-2307,AA0109,34570,0,PS,AGENT,ZOHARI,13:37:53,13:37:53,00:00:00
2017-03-06,CR2374246,C00011804,893-107-7760,AA0103,34571,2,PS,AGENT,SHLOMO,16:42:54,17:02:48,00:19:54
2017-03-03,CR2371358,C00004193,101-824-7809,AA0115,34572,2,PS,AGENT,YIFAT,11:44:45,11:54:42,00:09:57
2017-03-03,CR2370069,C00013657,617-004-7243,AA0110,34573,0,NW,AGENT,NO_SERVER,12:10:00,12:23:52,00:13:52
2017-03-01,CR2367546,C00001592,617-452-6384,AA0109,34578,1,PS,AGENT,DORIT,15:06:36,15:08:37,00:02:01
2017-02-28,CR2364438,C00001950,678-731-5913,AA0105,34580,0,NW,AGENT,AVNI,14:28:04,14:28:41,00:00:37
2017-02-28,CR2365383,C00004474,865-751-9494,AA0204,34581,2,PS,AGENT,MIKI,14:24:06,14:41:59,00:17:53
2017-02-27,CR2363462,C00002806,508-791-3193,AA0201,34584,2,PS,AGENT,AVNI,09:10:42,09:31:01,00:20:19
2017-02-27,CR2362129,C00011267,617-853-1807,AA0113,34585,1,PS,AGENT,SHARON,14:47:03,14:52:48,00:05:45
2017-02-24,CR2360714,C00000076,293-545-7588,AA0104,34586,0,NW,AGENT,IDIT,11:49:21,11:55:21,00:06:00
2017-02-23,CR2357722,C00004541,401-778-6265,AA0115,34587,1,NW,AGENT,SHLOMO,10:35:26,10:49:20,00:13:54
2017-02-23,CR2358198,C00003463,212-616-8813,AA0106,34588,2,PS,AGENT,SHARON,14:58:09,15:14:29,00:16:20
2017-02-22,CR2355167,C00001029,212-333-2794,AA0215,34589,0,PS,AGENT,BENSION,13:26:16,13:39:18,00:13:02
2017-02-22,CR2356522,C00002597,348-023-8834,AA0214,34590,0,PS,AGENT,KAZAV,12:24:46,12:43:11,00:18:25
2017-02-22,CR2355552,C00007723,508-561-6860,AA0214,34591,1,PS,AGENT,AVNI,13:36:02,13:47:54,00:11:52
2017-02-22,CR2356350,C00007127,456-256-2055,AA0210,34592,0,PS,AGENT,TOVA,16:24:35,16:35:57,00:11:22
2017-02-21,CR2354272,C00000446,505-839-7581,AA0109,34595,0,NW,AGENT,MICHAL,16:40:59,16:46:23,00:05:24
2017-02-21,CR2354077,C00001753,781-292-5899,AA0201,34596,0,NW,AGENT,MORIAH,11:46:04,11:59:02,00:12:58
2017-02-21,CR2353608,C00002480,161-776-5723,AA0203,34597,0,PS,AGENT,TOVA,09:38:24,09:42:07,00:03:43
2017-02-17,CR2349304,C00002902,150-386-8887,AA0204,34598,2,PS,AGENT,STEREN,14:31:11,14:51:46,00:20:35
2017-02-16,CR2347795,C00001122,298-650-1719,AA0105,34599,1,PS,AGENT,GELBER,13:18:47,13:29:04,00:10:17
